순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
60,파리 폴리,2015-02-26,2678000 ,0.0000 ,84634500 ,331 ,10997 ,3 ,13 ,프랑스,프랑스,,(주)티캐스트콘텐츠허브,15세이상관람가,드라마,마르끄 피투시,"이자벨 위페르,장 피에르 다루셍"
61,코멧,2015-03-25,1990000 ,0.0000 ,57135511 ,330 ,7597 ,6 ,21 ,미국,미국,,(주)지어소프트,15세이상관람가,"판타지,멜로/로맨스",샘 에스마일,"저스틴 롱,에미 로섬"
62,결혼하지 않아도 괜찮을까,2015-04-09,2568000 ,0.0000 ,8825000 ,321 ,1071 ,1 ,3 ,일본,일본,,프리비젼엔터테인먼트,12세이상관람가,드라마,미노리카와 오사무,"시바사키 코우,마키 요코,테라지마 시노부"
62,엘리노어 릭비: 그 남자 그 여자,2015-04-09,2519500 ,0.0000 ,12404000 ,321 ,1545 ,3 ,6 ,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트"
64,모데카이,2015-02-18,2121000 ,0.0000 ,613719020 ,303 ,76703 ,2 ,2 ,미국,미국,,(주)나이너스엔터테인먼트,15세이상관람가,"액션,코미디",데이빗 코엡,"조니 뎁,기네스 팰트로우,이완 맥그리거"
65,엘리노어 릭비: 그 여자,2015-04-09,2603900 ,0.0000 ,2603900 ,301 ,301 ,1 ,3 ,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제시카 차스테인,제임스 맥어보이"
66,로마의 휴일,,620000 ,0.0000 ,34533500 ,298 ,12376 ,1 ,8 ,미국,"미국,이탈리아",,,전체관람가,"코미디,드라마,멜로/로맨스",윌리엄 와일러,"그레고리 펙,오드리 헵번"
66,엘리노어 릭비: 그 남자,2015-04-09,2549000 ,0.0000 ,2549000 ,298 ,298 ,1 ,3 ,미국,미국,,(주)이수C&E,15세이상관람가,드라마,네드 벤슨,"제임스 맥어보이,제시카 차스테인"
68,"님아, 그 강을 건너지 마오",2014-11-27,1319000 ,0.0000 ,37353638679 ,297 ,4801296 ,1 ,4 ,한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
69,모던 타임즈,1988-07-02,2208500 ,0.0000 ,36252459 ,295 ,5942 ,6 ,34 ,미국,미국,"찰리채플린프로덕션,유나이티드 아티스트",(주)엣나인필름,"연소자관람가,전체관람가",코미디,찰리 채플린,"찰리 채플린,파울레트 고다드"
70,다윗과 밧세바,,576000 ,0.0000 ,2218000 ,288 ,1109 ,1 ,4 ,미국,미국,,,,"드라마,멜로/로맨스",헨리 킹,"그레고리 펙,수잔 헤이워드"
71,신은 죽지 않았다,2015-04-16,2216000 ,0.0000 ,2216000 ,262 ,262 ,1 ,2 ,미국,미국,,"(주)씨타마운틴픽쳐스,(주)에스와이코마드",12세이상관람가,드라마,해롤드 크론크,"쉐인 하퍼,케빈 소르보,트리샤 라파체,코리 올리버,하딜 싯투"
71,은술잔,,524000 ,0.0000 ,2266000 ,262 ,1124 ,1 ,5 ,미국,미국,,,,"멜로/로맨스,드라마",빅터 사빌,"피에르 안젤리,자크 오부컨"
73,분홍신,,518000 ,0.0000 ,5312000 ,259 ,2646 ,1 ,8 ,영국,영국,,,,드라마,마이클 파웰,"안톤 월브룩,마리우스 고링,모이라 시어러"
74,채피,2015-03-12,1934700 ,0.0000 ,4602177654 ,247 ,571259 ,6 ,27 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",닐 블롬캠프,"휴 잭맨,샬토 코플리,시고니 위버,데브 파텔"
75,제네시스: 세상의 소금,2015-02-26,1804000 ,0.0000 ,55769130 ,241 ,7099 ,4 ,24 ,프랑스,"프랑스,이탈리아,브라질",,㈜영화사 백두대간,12세이상관람가,다큐멘터리,"빔 벤더스,훌리아노 리베이로 살가두","세바스치앙 살가두,빔 벤더스,훌리아노 리베이로 살가두"
76,불의 전차,2016-06-16,480000 ,0.0000 ,6320000 ,240 ,3146 ,1 ,8 ,영국,영국,,(주)프레인글로벌,12세이상관람가,드라마,휴 허드슨,"니콜라스 파렐,나이젤 하버스,벤 크로스"
77,포스 마쥬어: 화이트 베케이션,2015-03-12,1563400 ,0.0000 ,39629200 ,238 ,5281 ,5 ,33 ,스웨덴,"스웨덴,프랑스,덴마크,노르웨이",,(주)블룸즈베리리소시스리미티드,15세이상관람가,드라마,루벤 외스틀룬드,"요하네스 쿤케,리사 로벤 콩슬리"
78,4월 단편 상상극장-소셜패밀리,,1631000 ,0.0000 ,1631000 ,233 ,233 ,1 ,3 ,한국,한국,,,,기타,,
78,나쁜 녀석들,2015-03-26,1520000 ,0.0000 ,35561300 ,233 ,4936 ,2 ,9 ,호주,호주,,와이드 릴리즈(주),15세이상관람가,"범죄,액션",줄리어스 에이버리,"이완 맥그리거,브렌튼 스웨이츠,알리시아 비칸데르"
80,금지된 장난,1992-09-26,436000 ,0.0000 ,4466000 ,218 ,1784 ,1 ,4 ,프랑스,프랑스,,,중학생이상관람가,"드라마,전쟁",르네 클레망,"조르주 푸줄리,브리지트 포세이"
81,해피 해피 와이너리,2015-03-12,1405000 ,0.0000 ,26568300 ,200 ,3657 ,5 ,34 ,일본,일본,,주식회사 씨네룩스,전체관람가,코미디,미시마 유키코,"오오이즈미 요,소메타니 쇼타"
82,폴 매카트니의 락쇼,2015-04-02,3529000 ,0.0000 ,3529000 ,199 ,199 ,6 ,22 ,캐나다,캐나다,,(주)케빈앤컴퍼니,전체관람가,공연,폴 매카트니,폴 매카트니
83,청춘의 증언,2015-04-09,1146000 ,0.0000 ,8442000 ,191 ,1103 ,1 ,1 ,영국,영국,,판씨네마(주),12세이상관람가,드라마,제임스 켄트,"알리시아 비칸데르,킷 해링턴,태런 에저튼,콜린 모건"
84,10분,2014-04-24,1026000 ,0.0000 ,25876400 ,171 ,3424 ,1 ,1 ,한국,한국,(주)타이거시네마,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,"이용승,박기용","백종환,김종구,정희태,임연호,송현영,조용철,최석원,이성경,이욱현,이종호,김민영,김보묵,김주영"
85,개를 훔치는 완벽한 방법,2014-12-31,854000 ,0.0000 ,2325740465 ,162 ,305542 ,1 ,5 ,한국,한국,(주)삼거리픽쳐스,"(주)리틀빅픽쳐스,(주)대명문화공장",전체관람가,"드라마,가족",김성호,"김혜자,이레,최민수,강혜정,이천희,김솔,김원중,김도엽,박성규,이지원,정택호,김재화,홍은택,이기영,류선영,조은지"
86,와일드,2015-01-22,1313100 ,0.0000 ,662303300 ,156 ,82960 ,1 ,7 ,미국,미국,,이십세기폭스코리아(주),청소년관람불가,드라마,장 마크 발레,"리즈 위더스푼,가비 호프만,로라 던"
87,생 로랑,2015-04-16,1136000 ,0.0000 ,2055000 ,142 ,278 ,1 ,1 ,프랑스,프랑스,,(주)팝엔터테인먼트,청소년관람불가,드라마,베르트랑 보넬로,"가스파르 울리엘,레아 세이두,루이스 가렐"
88,삼손과 데릴라,1974-12-21,274000 ,0.0000 ,16574318 ,137 ,9460 ,1 ,3 ,미국,미국,,,청소년관람불가,"드라마,멜로/로맨스,사극",세실 B. 데밀,"안젤라 랜스베리,헤디 라머,조지 샌더스"
89,순수의 시대,2015-03-05,999000 ,0.0000 ,3740948828 ,127 ,469891 ,4 ,21 ,한국,한국,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),청소년관람불가,"사극,드라마",안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉"
